,tweet_id,tweet_created,tweet_data
0,1572052167946653697,2022-09-20 02:36:58+00:00,"WR 172
CM 30
SPIN 18"
1,1572042922740314118,2022-09-20 02:00:14+00:00,"WR 207🦾
CM 53🏃
Spin 12🌀"
2,1572035825382334464,2022-09-20 01:32:02+00:00,"WR 210 😎
CM 49
SPIN 11"
3,1572030752501669890,2022-09-20 01:11:52+00:00,"WR 221
CM 45
SPIN 15"
4,1572026146530775040,2022-09-20 00:53:34+00:00,"WR 183 
CM 36
SPIN 24"
5,1572014040041361408,2022-09-20 00:05:28+00:00,"WR 177
CM 26
SPIN 2"
6,1572006176723697664,2022-09-19 23:34:13+00:00,"WR 175 
CM 38
SPIN 11"
7,1571998861777899520,2022-09-19 23:05:09+00:00,"WR 212
CM 44
SPIN 5"
8,1571992027121737728,2022-09-19 22:38:00+00:00,"WR 158
CM 40
SPIN 21"
9,1571983611531862021,2022-09-19 22:04:33+00:00,"WR 200
CM 43
SPIN 8"
10,1571975377634967552,2022-09-19 21:31:50+00:00,"WR 172
CM 51
SPIN 22"
11,1571968499836420097,2022-09-19 21:04:30+00:00,"WR 190
CM 31
SPIN 10"
12,1571961697459470337,2022-09-19 20:37:28+00:00,"WR 164
CM 57
SPIN 34"
13,1571954217341919232,2022-09-19 20:07:45+00:00,"WR 182
CM 41
Spin 26"
14,1571945927841030145,2022-09-19 19:34:49+00:00,"WR 177
CM 35
SPIN 12"
15,1571939162499973121,2022-09-19 19:07:56+00:00,"WR 160
CM 30 
SPIN 10"
16,1571930594749153281,2022-09-19 18:33:53+00:00,"WR 114
CM 18
SPIN 14"
17,1571923684696145934,2022-09-19 18:06:26+00:00,"WR 115 
CM 25
SPIN 8"
18,1571914631962132480,2022-09-19 17:30:27+00:00,"WR 136
CM 28
SPIN 6"
19,1571909442655887365,2022-09-19 17:09:50+00:00,"WR 111
CM 26
SPIN 8"
20,1571900294790844423,2022-09-19 16:33:29+00:00,"WR 97
CM 11
Spin 9"
21,1571892844708732930,2022-09-19 16:03:53+00:00,"WR 117
CM 23
Spin 20"
22,1571886178156126215,2022-09-19 15:37:23+00:00,"WR 107
CM 26
Spin 13"
23,1571878647593836549,2022-09-19 15:07:28+00:00,"WR 106
CM 23
Spin 17"
24,1571870183664373760,2022-09-19 14:33:50+00:00,"WR 76
CM 20
Spin 8"
25,1571862884698791937,2022-09-19 14:04:50+00:00,"WR 89
CM 21
Spin 11"
26,1571856919886761984,2022-09-19 13:41:08+00:00,"WR 75
CM 16
Spin 9"
27,1571847793777467399,2022-09-19 13:04:52+00:00,"WR 110
CM 14
Spin 21"
28,1571840804515188736,2022-09-19 12:37:05+00:00,"WR 75
CM 27
Spin 26"
29,1571833257917906947,2022-09-19 12:07:06+00:00,"WR 130 
CM 23
Spin 9"
30,1571825243823677440,2022-09-19 11:35:15+00:00,"WR 103 
CM 23
Spin 5"
31,1571817368422170624,2022-09-19 11:03:58+00:00,"WR 81
CM 17
SPIN 6"
32,1571689898360414208,2022-09-19 02:37:27+00:00,"WR 68
CM 22
Spin 7"
33,1571681600756129792,2022-09-19 02:04:28+00:00,"WR: 69
CM: 7
SPIN: 4"
34,1571666272617697280,2022-09-19 01:03:34+00:00,"WR: 74
CM: 19
SPIN: 6"
35,1571659551182622727,2022-09-19 00:36:51+00:00,"WR 86
CM 18
SPIN 3"
36,1571652151096614917,2022-09-19 00:07:27+00:00,"WR 84
CM 10
SPIN 2"
37,1571643598608662529,2022-09-18 23:33:28+00:00,"WR - 76
CM - 9
Spin - 10"
38,1571637735986700289,2022-09-18 23:10:10+00:00,WR 107 CM 14 Spin 5
39,1571637101182976000,2022-09-18 23:07:39+00:00,WR 107 CM 15 Spin 5
40,1571628222571286528,2022-09-18 22:32:22+00:00,WR 84 CM 15 Spin 9
41,1571621326476935171,2022-09-18 22:04:58+00:00,"WR 103
CM 18
SPIN 11"
42,1571613062146265095,2022-09-18 21:32:07+00:00,"WR - 90 🏋️
CM - 23 
Spin - 9"
43,1571607160370434050,2022-09-18 21:08:40+00:00,WR 103 CM 13 Spin 9 🏋️
44,1571598481227120645,2022-09-18 20:34:11+00:00,WR 104 CM 28 Spin 12🚴
